number of layers, filter size, batch size, epoch size, accuracy on test data
0 , 16 , 32 , 10 , 0.9521424596549806
0 , 16 , 8 , 10 , 0.9415692821368948
0 , 16 , 8 , 5 , 0.9415692821368948
0 , 32 , 32 , 10 , 0.9348914858096828
0 , 32 , 64 , 10 , 0.9482470784641068
0 , 32 , 64 , 20 , 0.9482470784641068
0 , 64 , 32 , 10 , 0.9053978853644964
0 , 64 , 128 , 10 , 0.9515859766277128
0 , 64 , 128 , 30 , 0.9521424596549806
1 , 16 , 32 , 10 , 0.9504730105731776
1 , 16 , 8 , 10 , 0.9521424596549806
1 , 16 , 8 , 5 , 0.9482470784641068
1 , 32 , 32 , 10 , 0.9588202559821926
1 , 32 , 64 , 10 , 0.9599332220367279
1 , 32 , 64 , 20 , 0.9610461880912632
1 , 64 , 32 , 10 , 0.9443516972732332
1 , 64 , 128 , 10 , 0.9326655537337811
1 , 64 , 128 , 30 , 0.9315525876792458
2 , 16 , 32 , 10 , 0.9304396215915415
2 , 16 , 8 , 10 , 0.9543683917640512
2 , 16 , 8 , 5 , 0.9337785197551475
2 , 32 , 32 , 10 , 0.9482470784641068
2 , 32 , 64 , 10 , 0.9482470784641068
2 , 32 , 64 , 20 , 0.9532554257095158
2 , 64 , 32 , 10 , 0.9599332220698968
2 , 64 , 128 , 10 , 0.9543683917640512
2 , 64 , 128 , 30 , 0.9543683917640512
